animal_id,date_of_birth,name,datetime,monthyear,outcome_type,outcome_subtype,animal_type,sex_upon_outcome,age_upon_outcome,breed,color,age_days
A668305,2012-12-01,Unknown,2013-12-02,12-2013,Transfer,Partner,Other,Unknown,1 year,Turtle Mix,Brown/Yellow,366
A673335,2012-02-22,Unknown,2014-02-22,02-2014,Euthanasia,Suffering,Other,Unknown,2 years,Raccoon,Black/Gray,731
A675999,2013-04-03,Unknown,2014-04-07,04-2014,Transfer,Partner,Other,Unknown,1 year,Turtle Mix,Green,369
A680855,2014-05-25,Unknown,2014-06-10,06-2014,Transfer,Partner,Bird,Unknown,2 weeks,Duck,Yellow/Black,16
A680857,2014-05-25,Unknown,2014-06-10,06-2014,Transfer,Partner,Bird,Unknown,2 weeks,Duck,Yellow/Black,16
A680858,2014-05-25,Unknown,2014-06-10,06-2014,Transfer,Partner,Bird,Unknown,2 weeks,Duck,Yellow/Black,16
A680859,2014-05-25,Unknown,2014-06-10,06-2014,Transfer,Partner,Bird,Unknown,2 weeks,Duck,Yellow/Black,16
A680860,2014-05-25,Unknown,2014-06-10,06-2014,Transfer,Partner,Bird,Unknown,2 weeks,Duck,Yellow/Black,16
A680861,2014-05-25,Unknown,2014-06-10,06-2014,Transfer,Partner,Bird,Unknown,2 weeks,Duck,Yellow/Black,16
A680862,2014-05-25,Unknown,2014-06-10,06-2014,Transfer,Partner,Bird,Unknown,2 weeks,Duck,Yellow/Black,16
A680863,2014-05-25,Unknown,2014-06-10,06-2014,Transfer,Partner,Bird,Unknown,2 weeks,Duck,Yellow/Black,16
A683090,2014-04-22,Jenny Tyson,2014-07-11,07-2014,Adoption,,Dog,Spayed Female,2 months,Black Mouth Cur Mix,Brown/Black,80
A683591,2014-06-12,Unknown,2014-07-12,07-2014,Transfer,Partner,Bird,Unknown,4 weeks,Catbird Mix,Brown,30
A683693,2014-06-29,Unknown,2014-07-14,07-2014,Transfer,Partner,Bird,Unknown,2 weeks,Grackle Mix,Black/White,15
A686222,2014-03-13,Unknown,2014-08-20,08-2014,Transfer,Partner,Bird,Intact Male,5 months,Silkie Mix,Black,160
A688001,2014-07-12,Unknown,2014-09-16,09-2014,Transfer,Partner,Bird,Unknown,2 months,Bantam Mix,White,66
A688002,2014-07-12,Unknown,2014-09-16,09-2014,Transfer,Partner,Bird,Unknown,2 months,Bantam Mix,White,66
A687621,2014-03-07,Unknown,2014-09-16,09-2014,Transfer,Partner,Bird,Unknown,6 months,Chicken Mix,Brown,193
A687622,2014-03-07,Unknown,2014-09-16,09-2014,Transfer,Partner,Bird,Unknown,6 months,Chicken Mix,Brown,193
A688000,2014-07-12,Unknown,2014-09-17,09-2014,Transfer,Partner,Bird,Unknown,2 months,Bantam Mix,White,67
A693750,2013-12-14,*Stetson,2014-12-23,12-2014,Transfer,Partner,Dog,Intact Male,1 year,Chihuahua Shorthair Mix,Brown/White,374
A694113,2013-06-20,Rooster,2014-12-23,12-2014,Transfer,Partner,Bird,Intact Male,1 year,Chicken Mix,Brown/Black,551
A694191,2014-04-22,Unknown,2014-12-27,12-2014,Transfer,Partner,Dog,Intact Male,8 months,Shiba Inu Mix,Tan,249
A694447,2014-12-07,Unknown,2014-12-29,12-2014,Transfer,Partner,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Blue Tabby,22
A694454,2014-12-07,Unknown,2014-12-29,12-2014,Transfer,Partner,Cat,Intact Female,3 weeks,Domestic Longhair Mix,Blue Tabby,22
A694136,2009-01-02,Hershey,2014-12-31,12-2014,Return to Owner,,Dog,Neutered Male,5 years,Cocker Spaniel Mix,Chocolate,2189
A604679,2008-12-27,Snowball,2015-01-01,01-2015,Transfer,Partner,Dog,Neutered Male,6 years,Chihuahua Shorthair Mix,Cream,2196
A694566,2014-12-25,Unknown,2015-01-02,01-2015,Transfer,Partner,Cat,Intact Female,1 weeks,Domestic Shorthair Mix,Black/White,8
A694592,2013-12-31,*Henry,2015-01-07,01-2015,Transfer,Partner,Other,Unknown,1 year,Mouse Mix,Gray/Black,372
A694289,2013-12-24,Osiris,2015-01-08,01-2015,Return to Owner,,Dog,Neutered Male,1 year,American Pit Bull Terrier Mix,Black/White,380
A694726,2011-08-31,Giselle,2015-01-12,01-2015,Transfer,Partner,Dog,Spayed Female,3 years,Golden Retriever/Labrador Retriever,Gold,1230
A695037,2012-01-07,*Nellie,2015-01-12,01-2015,Transfer,Partner,Dog,Spayed Female,3 years,Chihuahua Shorthair Mix,Black/White,1101
A695070,2014-01-08,David,2015-01-12,01-2015,Return to Owner,,Cat,Neutered Male,1 year,Russian Blue Mix,Blue,369
A695071,2012-01-08,*Rebel,2015-01-12,01-2015,Transfer,Partner,Dog,Neutered Male,3 years,Miniature Pinscher,Red,1100
A554865,2008-09-08,Pepe,2015-01-12,01-2015,Transfer,Partner,Dog,Neutered Male,6 years,Chihuahua Shorthair,White,2317
A693975,2013-12-18,*Roscoe,2015-01-27,01-2015,Transfer,Partner,Dog,Neutered Male,1 year,Pit Bull Mix,Fawn/White,405
A696368,2013-02-03,Cosmo,2015-02-05,02-2015,Return to Owner,,Dog,Neutered Male,2 years,Labrador Retriever Mix,Yellow/White,732
A696346,2012-02-03,Valentine,2015-02-09,02-2015,Transfer,Partner,Dog,Intact Female,3 years,Havanese Mix,White/Gray,1102
A696953,2002-02-15,Disco,2015-02-16,02-2015,Return to Owner,,Dog,Neutered Male,13 years,Chihuahua Shorthair,Tan,4749
A697223,2001-02-19,Lili,2015-02-20,02-2015,Return to Owner,,Dog,Spayed Female,14 years,Rat Terrier Mix,Tricolor,5114
A697599,2014-12-25,*Jasper,2015-02-28,02-2015,Transfer,Partner,Cat,Intact Female,2 months,Domestic Longhair Mix,Torbie,65
A693369,2012-12-06,Cupcake,2015-03-11,03-2015,Adoption,Foster,Dog,Spayed Female,2 years,Pekingese Mix,White,825
A698568,2012-03-13,Bella,2015-03-14,03-2015,Adoption,,Dog,Intact Female,3 years,Chihuahua Shorthair,Sable,1096
A696733,2013-02-11,Unknown,2015-03-21,03-2015,Return to Owner,,Other,Unknown,2 years,Lizard Mix,Tan,768
A699447,2014-09-27,Unknown,2015-03-27,03-2015,Died,,Other,Unknown,5 months,Bat Mix,Gray,181
A699599,2003-03-30,Duke,2015-03-30,03-2015,Return to Owner,,Dog,Neutered Male,12 years,Labrador Retriever Mix,Black,4383
A699601,2013-03-30,Remi,2015-03-30,03-2015,Return to Owner,,Dog,Spayed Female,2 years,Basset Hound Mix,White/Brown,730
A699665,2014-03-31,Lemon,2015-04-01,04-2015,Transfer,Partner,Bird,Unknown,1 year,Parakeet Mix,Yellow,366
A699767,2015-02-08,Bluebonnet,2015-04-02,04-2015,Transfer,Partner,Dog,Intact Male,1 month,Shih Tzu Mix,White,53
A699768,2015-02-08,Daffodil,2015-04-02,04-2015,Transfer,Partner,Dog,Intact Female,1 month,Shih Tzu Mix,Tan,53
A699769,2015-02-08,Roger Rabbit,2015-04-02,04-2015,Transfer,Partner,Dog,Intact Male,1 month,Shih Tzu Mix,White/Black,53
A699770,2015-02-08,Latte,2015-04-02,04-2015,Transfer,Partner,Dog,Intact Male,1 month,Shih Tzu Mix,White/Chocolate,53
A699771,2015-02-08,Unknown,2015-04-02,04-2015,Transfer,Partner,Dog,Intact Male,1 month,Shih Tzu Mix,Cream/Black,53
A699779,2013-04-02,Unknown,2015-04-02,04-2015,Transfer,Partner,Dog,Spayed Female,2 years,Shih Tzu,Tan,730
A699780,2013-04-02,Unknown,2015-04-02,04-2015,Transfer,Partner,Dog,Spayed Female,2 years,Shih Tzu Mix,Black,730
A699781,2014-04-02,Unknown,2015-04-02,04-2015,Transfer,Partner,Dog,Spayed Female,1 year,Shih Tzu Mix,White/Gray,365
A699782,2012-04-02,Unknown,2015-04-02,04-2015,Transfer,Partner,Dog,Intact Female,3 years,Shih Tzu Mix,White,1095
A699783,2014-11-02,Penny Lou,2015-04-02,04-2015,Transfer,Partner,Dog,Intact Female,4 months,Shih Tzu,White/Brown,151
